Sport,Event
Sailing,Sailing Men's One Person Dinghy
Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay"
Judo,Judo Women's Heavyweight
Badminton,Badminton Women's Doubles
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres
Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit
Cross Country Skiing,Cross Country Skiing Women's 15 kilometres
Athletics,Athletics Women's 10 kilometres Walk
Sailing,Sailing Women's Windsurfer
Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay"
Shooting,"Shooting Men's Running Target, 10 metres"
Judo,Judo Women's Lightweight
Sailing,Sailing Women's One Person Dinghy
Judo,Judo Women's Half-Heavyweight
Badminton,Badminton Men's Doubles
Badminton,Badminton Men's Singles
Judo,Judo Women's Half-Middleweight
Rowing,Rowing Women's Coxless Fours
Freestyle Skiing,Freestyle Skiing Women's Moguls
Cycling,"Cycling Women's Individual Pursuit, 3,000 metres"
Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres"
Judo,Judo Women's Middleweight
Judo,Judo Women's Half-Lightweight
Judo,Judo Women's Extra-Lightweight
Short Track Speed Skating,Short Track Speed Skating Women's 500 metres
Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay
Freestyle Skiing,Freestyle Skiing Men's Aerials
Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres"
Short Track Speed Skating,Short Track Speed Skating Men's 500 metres
Freestyle Skiing,Freestyle Skiing Women's Aerials
Rowing,Rowing Men's Lightweight Double Sculls
Football,Football Women's Football
Shooting,Shooting Men's Skeet
Rowing,Rowing Women's Lightweight Double Sculls
Synchronized Swimming,Synchronized Swimming Women's Team
Rowing,Rowing Men's Lightweight Coxless Fours
Beach Volleyball,Beach Volleyball Men's Beach Volleyball
Badminton,Badminton Mixed Doubles
Shooting,Shooting Men's Double Trap
Cycling,"Cycling Women's Mountainbike, Cross-Country"
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
Softball,Softball Women's Softball
Athletics,"Athletics Women's 5,000 metres"
Cycling,Cycling Men's Individual Time Trial
Fencing,"Fencing Women's epee, Individual"
Fencing,"Fencing Women's epee, Team"
Cycling,"Cycling Men's Mountainbike, Cross-Country"
Cycling,Cycling Women's Points Race
Cycling,Cycling Women's Individual Time Trial
Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
Athletics,Athletics Women's Triple Jump
Shooting,Shooting Women's Double Trap
Beach Volleyball,Beach Volleyball Women's Beach Volleyball
Ice Hockey,Ice Hockey Women's Ice Hockey
Snowboarding,Snowboarding Men's Giant Slalom
Curling,Curling Men's Curling
Snowboarding,Snowboarding Men's Halfpipe
Snowboarding,Snowboarding Women's Halfpipe
Curling,Curling Women's Curling
Snowboarding,Snowboarding Women's Giant Slalom
Taekwondo,Taekwondo Men's Flyweight
Weightlifting,Weightlifting Women's Featherweight
Taekwondo,Taekwondo Men's Featherweight
Taekwondo,Taekwondo Women's Featherweight
Taekwondo,Taekwondo Men's Welterweight
Cycling,Cycling Men's Madison
Water Polo,Water Polo Women's Water Polo
Taekwondo,Taekwondo Men's Heavyweight
Diving,Diving Women's Synchronized Springboard
Diving,Diving Women's Synchronized Platform
Athletics,Athletics Women's 20 kilometres Walk
Diving,Diving Men's Synchronized Springboard
Modern Pentathlon,Modern Pentathlon Women's Individual
Athletics,Athletics Women's Pole Vault
Triathlon,Triathlon Women's Olympic Distance
Sailing,Sailing Mixed Skiff
Cycling,Cycling Men's Keirin
Cycling,Cycling Men's Team Sprint
Shooting,Shooting Women's Skeet
Weightlifting,Weightlifting Women's Super-Heavyweight
Athletics,Athletics Women's Hammer Throw
Cycling,Cycling Women's 500 metres Time Trial
Triathlon,Triathlon Men's Olympic Distance
Weightlifting,Weightlifting Women's Lightweight
Taekwondo,Taekwondo Women's Heavyweight
Taekwondo,Taekwondo Women's Welterweight
Shooting,Shooting Women's Trap
Trampolining,Trampolining Men's Individual
Taekwondo,Taekwondo Women's Flyweight
Weightlifting,Weightlifting Women's Heavyweight
Weightlifting,Weightlifting Women's Middleweight
Trampolining,Trampolining Women's Individual
Weightlifting,Weightlifting Women's Light-Heavyweight
Weightlifting,Weightlifting Women's Flyweight
Diving,Diving Men's Synchronized Platform
Nordic Combined,Nordic Combined Men's Sprint
Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit
Skeleton,Skeleton Women's Skeleton
Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit
Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres"
Snowboarding,Snowboarding Men's Parallel Giant Slalom
Cross Country Skiing,Cross Country Skiing Women's Sprint
Biathlon,Biathlon Women's 10 kilometres Pursuit
Biathlon,Biathlon Men's 12.5 kilometres Pursuit
Cross Country Skiing,Cross Country Skiing Men's Sprint
Bobsleigh,Bobsleigh Women's Two
Snowboarding,Snowboarding Women's Parallel Giant Slalom
Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres"
Fencing,"Fencing Women's Sabre, Individual"
Sailing,Sailing Men's Two Person Keelboat
Sailing,Sailing Women's Three Person Keelboat
Wrestling,"Wrestling Women's Flyweight, Freestyle"
Wrestling,"Wrestling Women's Middleweight, Freestyle"
Wrestling,"Wrestling Women's Lightweight, Freestyle"
Wrestling,"Wrestling Women's Heavyweight, Freestyle"
Speed Skating,Speed Skating Women's Team Pursuit (6 laps)
Biathlon,Biathlon Women's 12.5 kilometres Mass Start
Biathlon,Biathlon Women's 4 x 6 kilometres Relay
Cross Country Skiing,Cross Country Skiing Men's Team Sprint
Snowboarding,Snowboarding Men's Boardercross
Cross Country Skiing,Cross Country Skiing Women's Team Sprint
Biathlon,Biathlon Men's 15 kilometres Mass Start
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon
Speed Skating,Speed Skating Men's Team Pursuit (8 laps)
Snowboarding,Snowboarding Women's Boardercross
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon
Athletics,"Athletics Women's 3,000 metres Steeplechase"
Cycling,Cycling Men's BMX
Cycling,Cycling Women's BMX
Table Tennis,Table Tennis Women's Team
Fencing,"Fencing Women's Sabre, Team"
Swimming,Swimming Women's 10 kilometres Open Water
Swimming,Swimming Men's 10 kilometres Open Water
